DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
ladcca,1,0,im-jit,35,ladcca-im-jit-1035,eth0,342,47.3.3.,70,70,2600:6c7f:91c0:40:2::,46,POD 1 JITP,,47.3.3.70,ladcca-im-jit-1035.ladc.ca.charter.com,2600:6c7f:91c0:40:2::46,ladcca-im-jit-1035.ladc.ca.charter.com,"add|a|47.3.3.70|ladcca-im-jit-1035.ladc.ca.charter.com|3600
add|ptr|47.3.3.70|ladcca-im-jit-1035.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::46|ladcca-im-jit-1035.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::46|ladcca-im-jit-1035.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.70"", ip6_addr = ""2600:6c7f:91c0:40:2::46""
    vm_name = ""ladcca-im-jit-1035"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,36,ladcca-im-jit-1036,eth0,342,47.3.3.,71,71,2600:6c7f:91c0:40:2::,47,POD 1 JITP,,47.3.3.71,ladcca-im-jit-1036.ladc.ca.charter.com,2600:6c7f:91c0:40:2::47,ladcca-im-jit-1036.ladc.ca.charter.com,"add|a|47.3.3.71|ladcca-im-jit-1036.ladc.ca.charter.com|3600
add|ptr|47.3.3.71|ladcca-im-jit-1036.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::47|ladcca-im-jit-1036.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::47|ladcca-im-jit-1036.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.71"", ip6_addr = ""2600:6c7f:91c0:40:2::47""
    vm_name = ""ladcca-im-jit-1036"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,37,ladcca-im-jit-1037,eth0,342,47.3.3.,72,72,2600:6c7f:91c0:40:2::,48,POD 1 JITP,,47.3.3.72,ladcca-im-jit-1037.ladc.ca.charter.com,2600:6c7f:91c0:40:2::48,ladcca-im-jit-1037.ladc.ca.charter.com,"add|a|47.3.3.72|ladcca-im-jit-1037.ladc.ca.charter.com|3600
add|ptr|47.3.3.72|ladcca-im-jit-1037.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::48|ladcca-im-jit-1037.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::48|ladcca-im-jit-1037.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.72"", ip6_addr = ""2600:6c7f:91c0:40:2::48""
    vm_name = ""ladcca-im-jit-1037"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,38,ladcca-im-jit-1038,eth0,342,47.3.3.,73,73,2600:6c7f:91c0:40:2::,49,POD 1 JITP,,47.3.3.73,ladcca-im-jit-1038.ladc.ca.charter.com,2600:6c7f:91c0:40:2::49,ladcca-im-jit-1038.ladc.ca.charter.com,"add|a|47.3.3.73|ladcca-im-jit-1038.ladc.ca.charter.com|3600
add|ptr|47.3.3.73|ladcca-im-jit-1038.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::49|ladcca-im-jit-1038.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::49|ladcca-im-jit-1038.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.73"", ip6_addr = ""2600:6c7f:91c0:40:2::49""
    vm_name = ""ladcca-im-jit-1038"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,39,ladcca-im-jit-1039,eth0,342,47.3.3.,74,74,2600:6c7f:91c0:40:2::,4A,POD 1 JITP,,47.3.3.74,ladcca-im-jit-1039.ladc.ca.charter.com,2600:6c7f:91c0:40:2::4A,ladcca-im-jit-1039.ladc.ca.charter.com,"add|a|47.3.3.74|ladcca-im-jit-1039.ladc.ca.charter.com|3600
add|ptr|47.3.3.74|ladcca-im-jit-1039.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::4A|ladcca-im-jit-1039.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::4A|ladcca-im-jit-1039.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.74"", ip6_addr = ""2600:6c7f:91c0:40:2::4A""
    vm_name = ""ladcca-im-jit-1039"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,40,ladcca-im-jit-1040,eth0,342,47.3.3.,75,75,2600:6c7f:91c0:40:2::,4B,POD 1 JITP,,47.3.3.75,ladcca-im-jit-1040.ladc.ca.charter.com,2600:6c7f:91c0:40:2::4B,ladcca-im-jit-1040.ladc.ca.charter.com,"add|a|47.3.3.75|ladcca-im-jit-1040.ladc.ca.charter.com|3600
add|ptr|47.3.3.75|ladcca-im-jit-1040.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::4B|ladcca-im-jit-1040.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::4B|ladcca-im-jit-1040.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.75"", ip6_addr = ""2600:6c7f:91c0:40:2::4B""
    vm_name = ""ladcca-im-jit-1040"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,41,ladcca-im-jit-1041,eth0,342,47.3.3.,76,76,2600:6c7f:91c0:40:2::,4C,POD 1 JITP,,47.3.3.76,ladcca-im-jit-1041.ladc.ca.charter.com,2600:6c7f:91c0:40:2::4C,ladcca-im-jit-1041.ladc.ca.charter.com,"add|a|47.3.3.76|ladcca-im-jit-1041.ladc.ca.charter.com|3600
add|ptr|47.3.3.76|ladcca-im-jit-1041.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::4C|ladcca-im-jit-1041.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::4C|ladcca-im-jit-1041.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.76"", ip6_addr = ""2600:6c7f:91c0:40:2::4C""
    vm_name = ""ladcca-im-jit-1041"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,42,ladcca-im-jit-1042,eth0,342,47.3.3.,77,77,2600:6c7f:91c0:40:2::,4D,POD 1 JITP,,47.3.3.77,ladcca-im-jit-1042.ladc.ca.charter.com,2600:6c7f:91c0:40:2::4D,ladcca-im-jit-1042.ladc.ca.charter.com,"add|a|47.3.3.77|ladcca-im-jit-1042.ladc.ca.charter.com|3600
add|ptr|47.3.3.77|ladcca-im-jit-1042.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::4D|ladcca-im-jit-1042.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::4D|ladcca-im-jit-1042.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.77"", ip6_addr = ""2600:6c7f:91c0:40:2::4D""
    vm_name = ""ladcca-im-jit-1042"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,43,ladcca-im-jit-1043,eth0,342,47.3.3.,78,78,2600:6c7f:91c0:40:2::,4E,POD 1 JITP,,47.3.3.78,ladcca-im-jit-1043.ladc.ca.charter.com,2600:6c7f:91c0:40:2::4E,ladcca-im-jit-1043.ladc.ca.charter.com,"add|a|47.3.3.78|ladcca-im-jit-1043.ladc.ca.charter.com|3600
add|ptr|47.3.3.78|ladcca-im-jit-1043.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::4E|ladcca-im-jit-1043.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::4E|ladcca-im-jit-1043.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.78"", ip6_addr = ""2600:6c7f:91c0:40:2::4E""
    vm_name = ""ladcca-im-jit-1043"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,44,ladcca-im-jit-1044,eth0,342,47.3.3.,79,79,2600:6c7f:91c0:40:2::,4F,POD 1 JITP,,47.3.3.79,ladcca-im-jit-1044.ladc.ca.charter.com,2600:6c7f:91c0:40:2::4F,ladcca-im-jit-1044.ladc.ca.charter.com,"add|a|47.3.3.79|ladcca-im-jit-1044.ladc.ca.charter.com|3600
add|ptr|47.3.3.79|ladcca-im-jit-1044.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::4F|ladcca-im-jit-1044.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::4F|ladcca-im-jit-1044.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.79"", ip6_addr = ""2600:6c7f:91c0:40:2::4F""
    vm_name = ""ladcca-im-jit-1044"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,45,ladcca-im-jit-1045,eth0,342,47.3.3.,80,80,2600:6c7f:91c0:40:2::,50,POD 1 JITP,,47.3.3.80,ladcca-im-jit-1045.ladc.ca.charter.com,2600:6c7f:91c0:40:2::50,ladcca-im-jit-1045.ladc.ca.charter.com,"add|a|47.3.3.80|ladcca-im-jit-1045.ladc.ca.charter.com|3600
add|ptr|47.3.3.80|ladcca-im-jit-1045.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::50|ladcca-im-jit-1045.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::50|ladcca-im-jit-1045.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.80"", ip6_addr = ""2600:6c7f:91c0:40:2::50""
    vm_name = ""ladcca-im-jit-1045"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,46,ladcca-im-jit-1046,eth0,342,47.3.3.,81,81,2600:6c7f:91c0:40:2::,51,POD 1 JITP,,47.3.3.81,ladcca-im-jit-1046.ladc.ca.charter.com,2600:6c7f:91c0:40:2::51,ladcca-im-jit-1046.ladc.ca.charter.com,"add|a|47.3.3.81|ladcca-im-jit-1046.ladc.ca.charter.com|3600
add|ptr|47.3.3.81|ladcca-im-jit-1046.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::51|ladcca-im-jit-1046.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::51|ladcca-im-jit-1046.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.81"", ip6_addr = ""2600:6c7f:91c0:40:2::51""
    vm_name = ""ladcca-im-jit-1046"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,47,ladcca-im-jit-1047,eth0,342,47.3.3.,82,82,2600:6c7f:91c0:40:2::,52,POD 1 JITP,,47.3.3.82,ladcca-im-jit-1047.ladc.ca.charter.com,2600:6c7f:91c0:40:2::52,ladcca-im-jit-1047.ladc.ca.charter.com,"add|a|47.3.3.82|ladcca-im-jit-1047.ladc.ca.charter.com|3600
add|ptr|47.3.3.82|ladcca-im-jit-1047.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::52|ladcca-im-jit-1047.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::52|ladcca-im-jit-1047.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.82"", ip6_addr = ""2600:6c7f:91c0:40:2::52""
    vm_name = ""ladcca-im-jit-1047"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,48,ladcca-im-jit-1048,eth0,342,47.3.3.,83,83,2600:6c7f:91c0:40:2::,53,POD 1 JITP,,47.3.3.83,ladcca-im-jit-1048.ladc.ca.charter.com,2600:6c7f:91c0:40:2::53,ladcca-im-jit-1048.ladc.ca.charter.com,"add|a|47.3.3.83|ladcca-im-jit-1048.ladc.ca.charter.com|3600
add|ptr|47.3.3.83|ladcca-im-jit-1048.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::53|ladcca-im-jit-1048.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::53|ladcca-im-jit-1048.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.83"", ip6_addr = ""2600:6c7f:91c0:40:2::53""
    vm_name = ""ladcca-im-jit-1048"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,49,ladcca-im-jit-1049,eth0,342,47.3.3.,84,84,2600:6c7f:91c0:40:2::,54,POD 1 JITP,,47.3.3.84,ladcca-im-jit-1049.ladc.ca.charter.com,2600:6c7f:91c0:40:2::54,ladcca-im-jit-1049.ladc.ca.charter.com,"add|a|47.3.3.84|ladcca-im-jit-1049.ladc.ca.charter.com|3600
add|ptr|47.3.3.84|ladcca-im-jit-1049.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::54|ladcca-im-jit-1049.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::54|ladcca-im-jit-1049.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.84"", ip6_addr = ""2600:6c7f:91c0:40:2::54""
    vm_name = ""ladcca-im-jit-1049"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,50,ladcca-im-jit-1050,eth0,342,47.3.3.,85,85,2600:6c7f:91c0:40:2::,55,POD 1 JITP,,47.3.3.85,ladcca-im-jit-1050.ladc.ca.charter.com,2600:6c7f:91c0:40:2::55,ladcca-im-jit-1050.ladc.ca.charter.com,"add|a|47.3.3.85|ladcca-im-jit-1050.ladc.ca.charter.com|3600
add|ptr|47.3.3.85|ladcca-im-jit-1050.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::55|ladcca-im-jit-1050.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::55|ladcca-im-jit-1050.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.85"", ip6_addr = ""2600:6c7f:91c0:40:2::55""
    vm_name = ""ladcca-im-jit-1050"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,51,ladcca-im-jit-1051,eth0,342,47.3.3.,86,86,2600:6c7f:91c0:40:2::,56,POD 1 JITP,,47.3.3.86,ladcca-im-jit-1051.ladc.ca.charter.com,2600:6c7f:91c0:40:2::56,ladcca-im-jit-1051.ladc.ca.charter.com,"add|a|47.3.3.86|ladcca-im-jit-1051.ladc.ca.charter.com|3600
add|ptr|47.3.3.86|ladcca-im-jit-1051.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::56|ladcca-im-jit-1051.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::56|ladcca-im-jit-1051.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.86"", ip6_addr = ""2600:6c7f:91c0:40:2::56""
    vm_name = ""ladcca-im-jit-1051"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,52,ladcca-im-jit-1052,eth0,342,47.3.3.,87,87,2600:6c7f:91c0:40:2::,57,POD 1 JITP,,47.3.3.87,ladcca-im-jit-1052.ladc.ca.charter.com,2600:6c7f:91c0:40:2::57,ladcca-im-jit-1052.ladc.ca.charter.com,"add|a|47.3.3.87|ladcca-im-jit-1052.ladc.ca.charter.com|3600
add|ptr|47.3.3.87|ladcca-im-jit-1052.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::57|ladcca-im-jit-1052.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::57|ladcca-im-jit-1052.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.87"", ip6_addr = ""2600:6c7f:91c0:40:2::57""
    vm_name = ""ladcca-im-jit-1052"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,53,ladcca-im-jit-1053,eth0,342,47.3.3.,88,88,2600:6c7f:91c0:40:2::,58,POD 1 JITP,,47.3.3.88,ladcca-im-jit-1053.ladc.ca.charter.com,2600:6c7f:91c0:40:2::58,ladcca-im-jit-1053.ladc.ca.charter.com,"add|a|47.3.3.88|ladcca-im-jit-1053.ladc.ca.charter.com|3600
add|ptr|47.3.3.88|ladcca-im-jit-1053.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::58|ladcca-im-jit-1053.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::58|ladcca-im-jit-1053.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.88"", ip6_addr = ""2600:6c7f:91c0:40:2::58""
    vm_name = ""ladcca-im-jit-1053"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,54,ladcca-im-jit-1054,eth0,342,47.3.3.,89,89,2600:6c7f:91c0:40:2::,59,POD 1 JITP,,47.3.3.89,ladcca-im-jit-1054.ladc.ca.charter.com,2600:6c7f:91c0:40:2::59,ladcca-im-jit-1054.ladc.ca.charter.com,"add|a|47.3.3.89|ladcca-im-jit-1054.ladc.ca.charter.com|3600
add|ptr|47.3.3.89|ladcca-im-jit-1054.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::59|ladcca-im-jit-1054.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::59|ladcca-im-jit-1054.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.89"", ip6_addr = ""2600:6c7f:91c0:40:2::59""
    vm_name = ""ladcca-im-jit-1054"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,55,ladcca-im-jit-1055,eth0,342,47.3.3.,90,90,2600:6c7f:91c0:40:2::,5A,POD 1 JITP,,47.3.3.90,ladcca-im-jit-1055.ladc.ca.charter.com,2600:6c7f:91c0:40:2::5A,ladcca-im-jit-1055.ladc.ca.charter.com,"add|a|47.3.3.90|ladcca-im-jit-1055.ladc.ca.charter.com|3600
add|ptr|47.3.3.90|ladcca-im-jit-1055.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::5A|ladcca-im-jit-1055.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::5A|ladcca-im-jit-1055.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.90"", ip6_addr = ""2600:6c7f:91c0:40:2::5A""
    vm_name = ""ladcca-im-jit-1055"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,56,ladcca-im-jit-1056,eth0,342,47.3.3.,91,91,2600:6c7f:91c0:40:2::,5B,POD 1 JITP,,47.3.3.91,ladcca-im-jit-1056.ladc.ca.charter.com,2600:6c7f:91c0:40:2::5B,ladcca-im-jit-1056.ladc.ca.charter.com,"add|a|47.3.3.91|ladcca-im-jit-1056.ladc.ca.charter.com|3600
add|ptr|47.3.3.91|ladcca-im-jit-1056.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::5B|ladcca-im-jit-1056.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::5B|ladcca-im-jit-1056.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.91"", ip6_addr = ""2600:6c7f:91c0:40:2::5B""
    vm_name = ""ladcca-im-jit-1056"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,57,ladcca-im-jit-1057,eth0,342,47.3.3.,92,92,2600:6c7f:91c0:40:2::,5C,POD 1 JITP,,47.3.3.92,ladcca-im-jit-1057.ladc.ca.charter.com,2600:6c7f:91c0:40:2::5C,ladcca-im-jit-1057.ladc.ca.charter.com,"add|a|47.3.3.92|ladcca-im-jit-1057.ladc.ca.charter.com|3600
add|ptr|47.3.3.92|ladcca-im-jit-1057.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::5C|ladcca-im-jit-1057.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::5C|ladcca-im-jit-1057.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.92"", ip6_addr = ""2600:6c7f:91c0:40:2::5C""
    vm_name = ""ladcca-im-jit-1057"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,58,ladcca-im-jit-1058,eth0,342,47.3.3.,93,93,2600:6c7f:91c0:40:2::,5D,POD 1 JITP,,47.3.3.93,ladcca-im-jit-1058.ladc.ca.charter.com,2600:6c7f:91c0:40:2::5D,ladcca-im-jit-1058.ladc.ca.charter.com,"add|a|47.3.3.93|ladcca-im-jit-1058.ladc.ca.charter.com|3600
add|ptr|47.3.3.93|ladcca-im-jit-1058.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::5D|ladcca-im-jit-1058.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::5D|ladcca-im-jit-1058.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.93"", ip6_addr = ""2600:6c7f:91c0:40:2::5D""
    vm_name = ""ladcca-im-jit-1058"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,59,ladcca-im-jit-1059,eth0,342,47.3.3.,94,94,2600:6c7f:91c0:40:2::,5E,POD 1 JITP,,47.3.3.94,ladcca-im-jit-1059.ladc.ca.charter.com,2600:6c7f:91c0:40:2::5E,ladcca-im-jit-1059.ladc.ca.charter.com,"add|a|47.3.3.94|ladcca-im-jit-1059.ladc.ca.charter.com|3600
add|ptr|47.3.3.94|ladcca-im-jit-1059.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::5E|ladcca-im-jit-1059.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::5E|ladcca-im-jit-1059.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.94"", ip6_addr = ""2600:6c7f:91c0:40:2::5E""
    vm_name = ""ladcca-im-jit-1059"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,60,ladcca-im-jit-1060,eth0,342,47.3.3.,95,95,2600:6c7f:91c0:40:2::,5F,POD 1 JITP,,47.3.3.95,ladcca-im-jit-1060.ladc.ca.charter.com,2600:6c7f:91c0:40:2::5F,ladcca-im-jit-1060.ladc.ca.charter.com,"add|a|47.3.3.95|ladcca-im-jit-1060.ladc.ca.charter.com|3600
add|ptr|47.3.3.95|ladcca-im-jit-1060.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::5F|ladcca-im-jit-1060.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::5F|ladcca-im-jit-1060.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.95"", ip6_addr = ""2600:6c7f:91c0:40:2::5F""
    vm_name = ""ladcca-im-jit-1060"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,61,ladcca-im-jit-1061,eth0,342,47.3.3.,96,96,2600:6c7f:91c0:40:2::,60,POD 1 JITP,,47.3.3.96,ladcca-im-jit-1061.ladc.ca.charter.com,2600:6c7f:91c0:40:2::60,ladcca-im-jit-1061.ladc.ca.charter.com,"add|a|47.3.3.96|ladcca-im-jit-1061.ladc.ca.charter.com|3600
add|ptr|47.3.3.96|ladcca-im-jit-1061.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::60|ladcca-im-jit-1061.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::60|ladcca-im-jit-1061.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.96"", ip6_addr = ""2600:6c7f:91c0:40:2::60""
    vm_name = ""ladcca-im-jit-1061"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,62,ladcca-im-jit-1062,eth0,342,47.3.3.,97,97,2600:6c7f:91c0:40:2::,61,POD 1 JITP,,47.3.3.97,ladcca-im-jit-1062.ladc.ca.charter.com,2600:6c7f:91c0:40:2::61,ladcca-im-jit-1062.ladc.ca.charter.com,"add|a|47.3.3.97|ladcca-im-jit-1062.ladc.ca.charter.com|3600
add|ptr|47.3.3.97|ladcca-im-jit-1062.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::61|ladcca-im-jit-1062.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::61|ladcca-im-jit-1062.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.97"", ip6_addr = ""2600:6c7f:91c0:40:2::61""
    vm_name = ""ladcca-im-jit-1062"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,63,ladcca-im-jit-1063,eth0,342,47.3.3.,98,98,2600:6c7f:91c0:40:2::,62,POD 1 JITP,,47.3.3.98,ladcca-im-jit-1063.ladc.ca.charter.com,2600:6c7f:91c0:40:2::62,ladcca-im-jit-1063.ladc.ca.charter.com,"add|a|47.3.3.98|ladcca-im-jit-1063.ladc.ca.charter.com|3600
add|ptr|47.3.3.98|ladcca-im-jit-1063.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::62|ladcca-im-jit-1063.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::62|ladcca-im-jit-1063.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.98"", ip6_addr = ""2600:6c7f:91c0:40:2::62""
    vm_name = ""ladcca-im-jit-1063"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,64,ladcca-im-jit-1064,eth0,342,47.3.3.,99,99,2600:6c7f:91c0:40:2::,63,POD 1 JITP,,47.3.3.99,ladcca-im-jit-1064.ladc.ca.charter.com,2600:6c7f:91c0:40:2::63,ladcca-im-jit-1064.ladc.ca.charter.com,"add|a|47.3.3.99|ladcca-im-jit-1064.ladc.ca.charter.com|3600
add|ptr|47.3.3.99|ladcca-im-jit-1064.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::63|ladcca-im-jit-1064.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::63|ladcca-im-jit-1064.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.99"", ip6_addr = ""2600:6c7f:91c0:40:2::63""
    vm_name = ""ladcca-im-jit-1064"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,65,ladcca-im-jit-1065,eth0,342,47.3.3.,100,100,2600:6c7f:91c0:40:2::,64,POD 1 JITP,,47.3.3.100,ladcca-im-jit-1065.ladc.ca.charter.com,2600:6c7f:91c0:40:2::64,ladcca-im-jit-1065.ladc.ca.charter.com,"add|a|47.3.3.100|ladcca-im-jit-1065.ladc.ca.charter.com|3600
add|ptr|47.3.3.100|ladcca-im-jit-1065.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::64|ladcca-im-jit-1065.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::64|ladcca-im-jit-1065.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.100"", ip6_addr = ""2600:6c7f:91c0:40:2::64""
    vm_name = ""ladcca-im-jit-1065"", ip6_addr2 = """"
  },",
ladcca,1,0,im-jit,66,ladcca-im-jit-1066,eth0,342,47.3.3.,101,101,2600:6c7f:91c0:40:2::,65,POD 1 JITP,,47.3.3.101,ladcca-im-jit-1066.ladc.ca.charter.com,2600:6c7f:91c0:40:2::65,ladcca-im-jit-1066.ladc.ca.charter.com,"add|a|47.3.3.101|ladcca-im-jit-1066.ladc.ca.charter.com|3600
add|ptr|47.3.3.101|ladcca-im-jit-1066.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::65|ladcca-im-jit-1066.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::65|ladcca-im-jit-1066.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.101"", ip6_addr = ""2600:6c7f:91c0:40:2::65""
    vm_name = ""ladcca-im-jit-1066"", ip6_addr2 = """"
  },",
