DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
ladcca,1,0,ch-gec,8,ladcca-ch-gec-1008-eth1,eth1,341,47.3.5.,11,11,2600:6c7f:91c0:40:1::,B,"POD 1, eCDN Node Public",,47.3.5.11,ladcca-ch-gec-1008-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::B,ladcca-ch-gec-1008-eth1.ladc.ca.charter.com,"add|a|47.3.5.11|ladcca-ch-gec-1008-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.11|ladcca-ch-gec-1008-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::B|ladcca-ch-gec-1008-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::B|ladcca-ch-gec-1008-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,9,ladcca-ch-gec-1009-eth1,eth1,341,47.3.5.,12,12,2600:6c7f:91c0:40:1::,C,"POD 1, eCDN Node Public",,47.3.5.12,ladcca-ch-gec-1009-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::C,ladcca-ch-gec-1009-eth1.ladc.ca.charter.com,"add|a|47.3.5.12|ladcca-ch-gec-1009-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.12|ladcca-ch-gec-1009-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::C|ladcca-ch-gec-1009-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::C|ladcca-ch-gec-1009-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,10,ladcca-ch-gec-1010-eth1,eth1,341,47.3.5.,13,13,2600:6c7f:91c0:40:1::,D,"POD 1, eCDN Node Public",,47.3.5.13,ladcca-ch-gec-1010-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::D,ladcca-ch-gec-1010-eth1.ladc.ca.charter.com,"add|a|47.3.5.13|ladcca-ch-gec-1010-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.13|ladcca-ch-gec-1010-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::D|ladcca-ch-gec-1010-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::D|ladcca-ch-gec-1010-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,11,ladcca-ch-gec-1011-eth1,eth1,341,47.3.5.,14,14,2600:6c7f:91c0:40:1::,E,"POD 1, eCDN Node Public",,47.3.5.14,ladcca-ch-gec-1011-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::E,ladcca-ch-gec-1011-eth1.ladc.ca.charter.com,"add|a|47.3.5.14|ladcca-ch-gec-1011-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.14|ladcca-ch-gec-1011-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::E|ladcca-ch-gec-1011-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::E|ladcca-ch-gec-1011-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,12,ladcca-ch-gec-1012-eth1,eth1,341,47.3.5.,15,15,2600:6c7f:91c0:40:1::,F,"POD 1, eCDN Node Public",,47.3.5.15,ladcca-ch-gec-1012-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::F,ladcca-ch-gec-1012-eth1.ladc.ca.charter.com,"add|a|47.3.5.15|ladcca-ch-gec-1012-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.15|ladcca-ch-gec-1012-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::F|ladcca-ch-gec-1012-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::F|ladcca-ch-gec-1012-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,13,ladcca-ch-gec-1013-eth1,eth1,341,47.3.5.,16,16,2600:6c7f:91c0:40:1::,10,"POD 1, eCDN Node Public",,47.3.5.16,ladcca-ch-gec-1013-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::10,ladcca-ch-gec-1013-eth1.ladc.ca.charter.com,"add|a|47.3.5.16|ladcca-ch-gec-1013-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.16|ladcca-ch-gec-1013-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::10|ladcca-ch-gec-1013-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::10|ladcca-ch-gec-1013-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,14,ladcca-ch-gec-1014-eth1,eth1,341,47.3.5.,17,17,2600:6c7f:91c0:40:1::,11,"POD 1, eCDN Node Public",,47.3.5.17,ladcca-ch-gec-1014-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::11,ladcca-ch-gec-1014-eth1.ladc.ca.charter.com,"add|a|47.3.5.17|ladcca-ch-gec-1014-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.17|ladcca-ch-gec-1014-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::11|ladcca-ch-gec-1014-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::11|ladcca-ch-gec-1014-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,15,ladcca-ch-gec-1015-eth1,eth1,341,47.3.5.,18,18,2600:6c7f:91c0:40:1::,12,"POD 1, eCDN Node Public",,47.3.5.18,ladcca-ch-gec-1015-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::12,ladcca-ch-gec-1015-eth1.ladc.ca.charter.com,"add|a|47.3.5.18|ladcca-ch-gec-1015-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.18|ladcca-ch-gec-1015-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::12|ladcca-ch-gec-1015-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::12|ladcca-ch-gec-1015-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,16,ladcca-ch-gec-1016-eth1,eth1,341,47.3.5.,19,19,2600:6c7f:91c0:40:1::,13,"POD 1, eCDN Node Public",,47.3.5.19,ladcca-ch-gec-1016-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::13,ladcca-ch-gec-1016-eth1.ladc.ca.charter.com,"add|a|47.3.5.19|ladcca-ch-gec-1016-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.19|ladcca-ch-gec-1016-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::13|ladcca-ch-gec-1016-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::13|ladcca-ch-gec-1016-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,17,ladcca-ch-gec-1017-eth1,eth1,341,47.3.5.,20,20,2600:6c7f:91c0:40:1::,14,"POD 1, eCDN Node Public",,47.3.5.20,ladcca-ch-gec-1017-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::14,ladcca-ch-gec-1017-eth1.ladc.ca.charter.com,"add|a|47.3.5.20|ladcca-ch-gec-1017-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.20|ladcca-ch-gec-1017-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::14|ladcca-ch-gec-1017-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::14|ladcca-ch-gec-1017-eth1.ladc.ca.charter.com|3600",,
