POD	Type	No.	Hostname 	Interface 	VLAN 		IPv4 	Cntr		IPv6	Description 	Orig Line	4Net1	4Net2	4Net3	4Net4		6net		IPv4	DNS A Records	IPv6	DNS AAAA Records
1	ci-vrr	3	cdptpabb-ci-vrr-0003	eth0	910	75.179.249.	169	9	2001:1998:064f:010c::	9	Record Router 3	28	75	179	249	160	75.179.249.169	010c		75.179.249.169	cdptpabb-ci-vrr-0003.cdvr.stage.charter.com	2001:1998:064f:010c::9	cdptpabb-ci-vrr-0003.cdvr.stage.charter.com
1	ci-cbb	1	cdptpabb-ci-cbb-0001	eth0	910	75.179.249.	170	10	2001:1998:064f:010c::	A	Couchbase 1	29	75	179	249	160	75.179.249.170	010c		75.179.249.170	cdptpabb-ci-cbb-0001.cdvr.stage.charter.com	2001:1998:064f:010c::A	cdptpabb-ci-cbb-0001.cdvr.stage.charter.com
1	ci-cbb	2	cdptpabb-ci-cbb-0002	eth0	910	75.179.249.	171	11	2001:1998:064f:010c::	B	Couchbase 2	30	75	179	249	160	75.179.249.171	010c		75.179.249.171	cdptpabb-ci-cbb-0002.cdvr.stage.charter.com	2001:1998:064f:010c::B	cdptpabb-ci-cbb-0002.cdvr.stage.charter.com
1	ci-cbb	3	cdptpabb-ci-cbb-0003	eth0	910	75.179.249.	172	12	2001:1998:064f:010c::	C	Couchbase 3	31	75	179	249	160	75.179.249.172	010c		75.179.249.172	cdptpabb-ci-cbb-0003.cdvr.stage.charter.com	2001:1998:064f:010c::C	cdptpabb-ci-cbb-0003.cdvr.stage.charter.com
1	ci-cbb	4	cdptpabb-ci-cbb-0004	eth0	910	75.179.249.	173	13	2001:1998:064f:010c::	D	Couchbase 4	32	75	179	249	160	75.179.249.173	010c		75.179.249.173	cdptpabb-ci-cbb-0004.cdvr.stage.charter.com	2001:1998:064f:010c::D	cdptpabb-ci-cbb-0004.cdvr.stage.charter.com
1	ci-cbb	5	cdptpabb-ci-cbb-0005	eth0	910	75.179.249.	174	14	2001:1998:064f:010c::	E	Couchbase 5	33	75	179	249	160	75.179.249.174	010c		75.179.249.174	cdptpabb-ci-cbb-0005.cdvr.stage.charter.com	2001:1998:064f:010c::E	cdptpabb-ci-cbb-0005.cdvr.stage.charter.com
1	ci-cbb	6	cdptpabb-ci-cbb-0006	eth0	910	75.179.249.	175	15	2001:1998:064f:010c::	F	Couchbase 6	34	75	179	249	160	75.179.249.175	010c		75.179.249.175	cdptpabb-ci-cbb-0006.cdvr.stage.charter.com	2001:1998:064f:010c::F	cdptpabb-ci-cbb-0006.cdvr.stage.charter.com
1	ci-cbb	7	cdptpabb-ci-cbb-0007	eth0	910	75.179.249.	176	16	2001:1998:064f:010c::	10	Couchbase 7	35	75	179	249	160	75.179.249.176	010c		75.179.249.176	cdptpabb-ci-cbb-0007.cdvr.stage.charter.com	2001:1998:064f:010c::10	cdptpabb-ci-cbb-0007.cdvr.stage.charter.com
1	ci-cbb	8	cdptpabb-ci-cbb-0008	eth0	910	75.179.249.	177	17	2001:1998:064f:010c::	11	Couchbase 8	36	75	179	249	160	75.179.249.177	010c		75.179.249.177	cdptpabb-ci-cbb-0008.cdvr.stage.charter.com	2001:1998:064f:010c::11	cdptpabb-ci-cbb-0008.cdvr.stage.charter.com
1	ci-cbb	9	cdptpabb-ci-cbb-0009	eth0	910	75.179.249.	178	18	2001:1998:064f:010c::	12	Couchbase 9	37	75	179	249	160	75.179.249.178	010c		75.179.249.178	cdptpabb-ci-cbb-0009.cdvr.stage.charter.com	2001:1998:064f:010c::12	cdptpabb-ci-cbb-0009.cdvr.stage.charter.com
1	ci-cbb	10	cdptpabb-ci-cbb-0010	eth0	910	75.179.249.	179	19	2001:1998:064f:010c::	13	Couchbase 10	38	75	179	249	160	75.179.249.179	010c		75.179.249.179	cdptpabb-ci-cbb-0010.cdvr.stage.charter.com	2001:1998:064f:010c::13	cdptpabb-ci-cbb-0010.cdvr.stage.charter.com
