POD	Type	No.	Hostname 	Interface 	VLAN 		IPv4 	Cntr		IPv6	Description 	Orig Line	4Net1	4Net2	4Net3	4Net4		6net		IPv4	DNS A Records	IPv6	DNS AAAA Records
2	n/a	n/a	osvip-2101	n/a	130	75.179.212.	8	8	2001:1998:064f:0105::	8	"POD 02, VMR 01 OS VIP"	128	75	179	212	64	75.179.212.8	0105		75.179.212.8	osvip-2101.cdvr.stage.charter.com	2001:1998:064f:0105::8	osvip-2101.cdvr.stage.charter.com
2	n/a	n/a	osvip-2201	n/a	130	75.179.212.	9	9	2001:1998:064f:0105::	9	"POD 02, VMR 02 OS VIP"	129	75	179	212	64	75.179.212.9	0105		75.179.212.9	osvip-2201.cdvr.stage.charter.com	2001:1998:064f:0105::9	osvip-2201.cdvr.stage.charter.com
2	n/a	n/a	vmrvip-2101	n/a	130	75.179.212.	10	10	2001:1998:064f:0105::	A	"POD 02, VMR 01, VIP worker nodes 1-3"	130	75	179	212	64	75.179.212.10	0105		75.179.212.10	vmrvip-2101.cdvr.stage.charter.com	2001:1998:064f:0105::A	vmrvip-2101.cdvr.stage.charter.com
2	n/a	n/a	vmrvip-2102	n/a	130	75.179.212.	11	11	2001:1998:064f:0105::	B	"POD 02, VMR 01, VIP worker nodes 4-6"	131	75	179	212	64	75.179.212.11	0105		75.179.212.11	vmrvip-2102.cdvr.stage.charter.com	2001:1998:064f:0105::B	vmrvip-2102.cdvr.stage.charter.com
2	n/a	n/a	vmrvip-2201	n/a	130	75.179.212.	12	12	2001:1998:064f:0105::	C	"POD 02, VMR 02, VIP worker nodes 1-3"	132	75	179	212	64	75.179.212.12	0105		75.179.212.12	vmrvip-2201.cdvr.stage.charter.com	2001:1998:064f:0105::C	vmrvip-2201.cdvr.stage.charter.com
2	n/a	n/a	vmrvip-2202	n/a	130	75.179.212.	13	13	2001:1998:064f:0105::	D	"POD 02, VMR 02, VIP worker nodes 4-6"	133	75	179	212	64	75.179.212.13	0105		75.179.212.13	vmrvip-2202.cdvr.stage.charter.com	2001:1998:064f:0105::D	vmrvip-2202.cdvr.stage.charter.com
2	ci-kmr	1	cdptpabb-ci-klb-2101	eth0	130	75.179.212.	14	14	2001:1998:064f:0105::	E	"POD 02, VMR 01, LB 01"	134	75	179	212	64	75.179.212.14	0105		75.179.212.14	cdptpabb-ci-klb-2101.cdvr.stage.charter.com	2001:1998:064f:0105::E	cdptpabb-ci-klb-2101.cdvr.stage.charter.com
2	ci-kmr	2	cdptpabb-ci-klb-2102	eth0	130	75.179.212.	15	15	2001:1998:064f:0105::	F	"POD 02, VMR 01, LB 02"	135	75	179	212	64	75.179.212.15	0105		75.179.212.15	cdptpabb-ci-klb-2102.cdvr.stage.charter.com	2001:1998:064f:0105::F	cdptpabb-ci-klb-2102.cdvr.stage.charter.com
2	ci-kmr	3	cdptpabb-ci-kmr-2101	eth0	130	75.179.212.	16	16	2001:1998:064f:0105::	10	"POD 02, VMR 01, Master 01"	136	75	179	212	64	75.179.212.16	0105		75.179.212.16	cdptpabb-ci-kmr-2101.cdvr.stage.charter.com	2001:1998:064f:0105::10	cdptpabb-ci-kmr-2101.cdvr.stage.charter.com
2	ci-knd	1	cdptpabb-ci-kmr-2102	eth0	130	75.179.212.	17	17	2001:1998:064f:0105::	11	"POD 02, VMR 01, Master 02"	137	75	179	212	64	75.179.212.17	0105		75.179.212.17	cdptpabb-ci-kmr-2102.cdvr.stage.charter.com	2001:1998:064f:0105::11	cdptpabb-ci-kmr-2102.cdvr.stage.charter.com
2	ci-knd	2	cdptpabb-ci-kmr-2103	eth0	130	75.179.212.	18	18	2001:1998:064f:0105::	12	"POD 02, VMR 01, Master 03"	138	75	179	212	64	75.179.212.18	0105		75.179.212.18	cdptpabb-ci-kmr-2103.cdvr.stage.charter.com	2001:1998:064f:0105::12	cdptpabb-ci-kmr-2103.cdvr.stage.charter.com
2	ci-knd	3	cdptpabb-ci-knd-2101	eth0	130	75.179.212.	19	19	2001:1998:064f:0105::	13	"POD 02, VMR 01, Worker 01"	139	75	179	212	64	75.179.212.19	0105		75.179.212.19	cdptpabb-ci-knd-2101.cdvr.stage.charter.com	2001:1998:064f:0105::13	cdptpabb-ci-knd-2101.cdvr.stage.charter.com
2	ci-knd	4	cdptpabb-ci-knd-2102	eth0	130	75.179.212.	20	20	2001:1998:064f:0105::	14	"POD 02, VMR 01, Worker 02"	140	75	179	212	64	75.179.212.20	0105		75.179.212.20	cdptpabb-ci-knd-2102.cdvr.stage.charter.com	2001:1998:064f:0105::14	cdptpabb-ci-knd-2102.cdvr.stage.charter.com
2	ci-knd	5	cdptpabb-ci-knd-2103	eth0	130	75.179.212.	21	21	2001:1998:064f:0105::	15	"POD 02, VMR 01, Worker 03"	141	75	179	212	64	75.179.212.21	0105		75.179.212.21	cdptpabb-ci-knd-2103.cdvr.stage.charter.com	2001:1998:064f:0105::15	cdptpabb-ci-knd-2103.cdvr.stage.charter.com
2	ci-knd	6	cdptpabb-ci-knd-2104	eth0	130	75.179.212.	22	22	2001:1998:064f:0105::	16	"POD 02, VMR 01, Worker 04"	142	75	179	212	64	75.179.212.22	0105		75.179.212.22	cdptpabb-ci-knd-2104.cdvr.stage.charter.com	2001:1998:064f:0105::16	cdptpabb-ci-knd-2104.cdvr.stage.charter.com
2	ci-knd		cdptpabb-ci-knd-2105	eth0	130	75.179.212.	23	23	2001:1998:064f:0105::	17	"POD 02, VMR 01, Worker 05"	143	75	179	212	64	75.179.212.23	0105		75.179.212.23	cdptpabb-ci-knd-2105.cdvr.stage.charter.com	2001:1998:064f:0105::17	cdptpabb-ci-knd-2105.cdvr.stage.charter.com
2	ci-knd		cdptpabb-ci-knd-2106	eth0	130	75.179.212.	24	24	2001:1998:064f:0105::	18	"POD 02, VMR 01, Worker 06"	144	75	179	212	64	75.179.212.24	0105		75.179.212.24	cdptpabb-ci-knd-2106.cdvr.stage.charter.com	2001:1998:064f:0105::18	cdptpabb-ci-knd-2106.cdvr.stage.charter.com
2	ci-knd		cdptpabb-ci-klb-2201	eth0	130	75.179.212.	25	25	2001:1998:064f:0105::	19	"POD 02, VMR 02, LB 01"	145	75	179	212	64	75.179.212.25	0105		75.179.212.25	cdptpabb-ci-klb-2201.cdvr.stage.charter.com	2001:1998:064f:0105::19	cdptpabb-ci-klb-2201.cdvr.stage.charter.com
2	ci-knd		cdptpabb-ci-klb-2202	eth0	130	75.179.212.	26	26	2001:1998:064f:0105::	1A	"POD 02, VMR 02, LB 02"	146	75	179	212	64	75.179.212.26	0105		75.179.212.26	cdptpabb-ci-klb-2202.cdvr.stage.charter.com	2001:1998:064f:0105::1A	cdptpabb-ci-klb-2202.cdvr.stage.charter.com
2	ci-knd		cdptpabb-ci-kmr-2201	eth0	130	75.179.212.	27	27	2001:1998:064f:0105::	1B	"POD 02, VMR 02, Master 01"	147	75	179	212	64	75.179.212.27	0105		75.179.212.27	cdptpabb-ci-kmr-2201.cdvr.stage.charter.com	2001:1998:064f:0105::1B	cdptpabb-ci-kmr-2201.cdvr.stage.charter.com
2	ci-knd		cdptpabb-ci-kmr-2202	eth0	130	75.179.212.	28	28	2001:1998:064f:0105::	1C	"POD 02, VMR 02, Master 02"	148	75	179	212	64	75.179.212.28	0105		75.179.212.28	cdptpabb-ci-kmr-2202.cdvr.stage.charter.com	2001:1998:064f:0105::1C	cdptpabb-ci-kmr-2202.cdvr.stage.charter.com
2			cdptpabb-ci-kmr-2203	eth0	130	75.179.212.	29	29	2001:1998:064f:0105::	1D	"POD 02, VMR 02, Master 03"	149	75	179	212	64	75.179.212.29	0105		75.179.212.29	cdptpabb-ci-kmr-2203.cdvr.stage.charter.com	2001:1998:064f:0105::1D	cdptpabb-ci-kmr-2203.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2201	eth0	130	75.179.212.	30	30	2001:1998:064f:0105::	1E	"POD 02, VMR 02, Worker 01"	150	75	179	212	64	75.179.212.30	0105		75.179.212.30	cdptpabb-ci-knd-2201.cdvr.stage.charter.com	2001:1998:064f:0105::1E	cdptpabb-ci-knd-2201.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2202	eth0	130	75.179.212.	31	31	2001:1998:064f:0105::	1F	"POD 02, VMR 02, Worker 02"	151	75	179	212	64	75.179.212.31	0105		75.179.212.31	cdptpabb-ci-knd-2202.cdvr.stage.charter.com	2001:1998:064f:0105::1F	cdptpabb-ci-knd-2202.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2203	eth0	130	75.179.212.	32	32	2001:1998:064f:0105::	20	"POD 02, VMR 02, Worker 03"	152	75	179	212	64	75.179.212.32	0105		75.179.212.32	cdptpabb-ci-knd-2203.cdvr.stage.charter.com	2001:1998:064f:0105::20	cdptpabb-ci-knd-2203.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2205	eth0	130	75.179.212.	33	33	2001:1998:064f:0105::	21	"POD 02, VMR 02, Worker 04"	153	75	179	212	64	75.179.212.33	0105		75.179.212.33	cdptpabb-ci-knd-2205.cdvr.stage.charter.com	2001:1998:064f:0105::21	cdptpabb-ci-knd-2205.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2204	eth0	130	75.179.212.	34	34	2001:1998:064f:0105::	22	"POD 02, VMR 02, Worker 05"	154	75	179	212	64	75.179.212.34	0105		75.179.212.34	cdptpabb-ci-knd-2204.cdvr.stage.charter.com	2001:1998:064f:0105::22	cdptpabb-ci-knd-2204.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2206	eth0	130	75.179.212.	35	35	2001:1998:064f:0105::	23	"POD 02, VMR 02, Worker 06"	155	75	179	212	64	75.179.212.35	0105		75.179.212.35	cdptpabb-ci-knd-2206.cdvr.stage.charter.com	2001:1998:064f:0105::23	cdptpabb-ci-knd-2206.cdvr.stage.charter.com
2			cdptpabb-ci-mql-2201	eth0	130	75.179.212.	36	36	2001:1998:064f:0105::	24	"POD 02, VMR 02, MemSQL 01"	156	75	179	212	64	75.179.212.36	0105		75.179.212.36	cdptpabb-ci-mql-2201.cdvr.stage.charter.com	2001:1998:064f:0105::24	cdptpabb-ci-mql-2201.cdvr.stage.charter.com
2			cdptpabb-ci-mql-2202	eth0	130	75.179.212.	37	37	2001:1998:064f:0105::	25	"POD 02, VMR 02, MemSQL 02"	156	75	179	212	64	75.179.212.37	0105		75.179.212.37	cdptpabb-ci-mql-2202.cdvr.stage.charter.com	2001:1998:064f:0105::25	cdptpabb-ci-mql-2202.cdvr.stage.charter.com
2			cdptpabb-ci-mql-2203	eth0	130	75.179.212.	38	38	2001:1998:064f:0105::	26	"POD 02, VMR 02, MemSQL 03"	156	75	179	212	64	75.179.212.38	0105		75.179.212.38	cdptpabb-ci-mql-2203.cdvr.stage.charter.com	2001:1998:064f:0105::26	cdptpabb-ci-mql-2203.cdvr.stage.charter.com
2			cdptpabb-ci-klb-2103	eth0	130	75.179.212.	39	39	2001:1998:064f:0105::	27	"POD 02, Mon 01, LB"	159	75	179	212	64	75.179.212.39	0105		75.179.212.39	cdptpabb-ci-klb-2103.cdvr.stage.charter.com	2001:1998:064f:0105::27	cdptpabb-ci-klb-2103.cdvr.stage.charter.com
2			cdptpabb-ci-klb-2104	eth0	130	75.179.212.	40	40	2001:1998:064f:0105::	28	"POD 02, Mon 01, LB"	160	75	179	212	64	75.179.212.40	0105		75.179.212.40	cdptpabb-ci-klb-2104.cdvr.stage.charter.com	2001:1998:064f:0105::28	cdptpabb-ci-klb-2104.cdvr.stage.charter.com
2			cdptpabb-ci-kmr-2104	eth0	130	75.179.212.	41	41	2001:1998:064f:0105::	29	"POD 02, Mon 01, Master"	161	75	179	212	64	75.179.212.41	0105		75.179.212.41	cdptpabb-ci-kmr-2104.cdvr.stage.charter.com	2001:1998:064f:0105::29	cdptpabb-ci-kmr-2104.cdvr.stage.charter.com
2			cdptpabb-ci-kmr-2105	eth0	130	75.179.212.	42	42	2001:1998:064f:0105::	2A	"POD 02, Mon 01, Master"	142	75	179	212	64	75.179.212.42	0105		75.179.212.42	cdptpabb-ci-kmr-2105.cdvr.stage.charter.com	2001:1998:064f:0105::2A	cdptpabb-ci-kmr-2105.cdvr.stage.charter.com
2			cdptpabb-ci-kmr-2106	eth0	130	75.179.212.	43	43	2001:1998:064f:0105::	2B	"POD 02, Mon 01, Master"	143	75	179	212	64	75.179.212.43	0105		75.179.212.43	cdptpabb-ci-kmr-2106.cdvr.stage.charter.com	2001:1998:064f:0105::2B	cdptpabb-ci-kmr-2106.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2107	eth0	130	75.179.212.	44	44	2001:1998:064f:0105::	2C	"POD 02, Mon 01, Worker"	144	75	179	212	64	75.179.212.44	0105		75.179.212.44	cdptpabb-ci-knd-2107.cdvr.stage.charter.com	2001:1998:064f:0105::2C	cdptpabb-ci-knd-2107.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2108	eth0	130	75.179.212.	45	45	2001:1998:064f:0105::	2D	"POD 02, Mon 01, Worker"	165	75	179	212	64	75.179.212.45	0105		75.179.212.45	cdptpabb-ci-knd-2108.cdvr.stage.charter.com	2001:1998:064f:0105::2D	cdptpabb-ci-knd-2108.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2109	eth0	130	75.179.212.	46	46	2001:1998:064f:0105::	2E	"POD 02, Mon 01, Worker"	166	75	179	212	64	75.179.212.46	0105		75.179.212.46	cdptpabb-ci-knd-2109.cdvr.stage.charter.com	2001:1998:064f:0105::2E	cdptpabb-ci-knd-2109.cdvr.stage.charter.com
2			cdptpabb-ci-klb-2203	eth0	130	75.179.212.	47	47	2001:1998:064f:0105::	2F	"POD 02, Mon 02, LB"	167	75	179	212	64	75.179.212.47	0105		75.179.212.47	cdptpabb-ci-klb-2203.cdvr.stage.charter.com	2001:1998:064f:0105::2F	cdptpabb-ci-klb-2203.cdvr.stage.charter.com
2			cdptpabb-ci-klb-2204	eth0	130	75.179.212.	48	48	2001:1998:064f:0105::	30	"POD 02, Mon 02, LB"	168	75	179	212	64	75.179.212.48	0105		75.179.212.48	cdptpabb-ci-klb-2204.cdvr.stage.charter.com	2001:1998:064f:0105::30	cdptpabb-ci-klb-2204.cdvr.stage.charter.com
2			cdptpabb-ci-kmr-2204	eth0	130	75.179.212.	49	49	2001:1998:064f:0105::	31	"POD 02, Mon 02, Master"	169	75	179	212	64	75.179.212.49	0105		75.179.212.49	cdptpabb-ci-kmr-2204.cdvr.stage.charter.com	2001:1998:064f:0105::31	cdptpabb-ci-kmr-2204.cdvr.stage.charter.com
2			cdptpabb-ci-kmr-2205	eth0	130	75.179.212.	50	50	2001:1998:064f:0105::	32	"POD 02, Mon 02, Master"	170	75	179	212	64	75.179.212.50	0105		75.179.212.50	cdptpabb-ci-kmr-2205.cdvr.stage.charter.com	2001:1998:064f:0105::32	cdptpabb-ci-kmr-2205.cdvr.stage.charter.com
2			cdptpabb-ci-kmr-2206	eth0	130	75.179.212.	51	51	2001:1998:064f:0105::	33	"POD 02, Mon 02, Master"	171	75	179	212	64	75.179.212.51	0105		75.179.212.51	cdptpabb-ci-kmr-2206.cdvr.stage.charter.com	2001:1998:064f:0105::33	cdptpabb-ci-kmr-2206.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2207	eth0	130	75.179.212.	52	52	2001:1998:064f:0105::	34	"POD 02, Mon 02, Worker"	172	75	179	212	64	75.179.212.52	0105		75.179.212.52	cdptpabb-ci-knd-2207.cdvr.stage.charter.com	2001:1998:064f:0105::34	cdptpabb-ci-knd-2207.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2208	eth0	130	75.179.212.	53	53	2001:1998:064f:0105::	35	"POD 02, Mon 02, Worker"	173	75	179	212	64	75.179.212.53	0105		75.179.212.53	cdptpabb-ci-knd-2208.cdvr.stage.charter.com	2001:1998:064f:0105::35	cdptpabb-ci-knd-2208.cdvr.stage.charter.com
2			cdptpabb-ci-knd-2209	eth0	130	75.179.212.	54	54	2001:1998:064f:0105::	36	"POD 02, Mon 02, Worker"	174	75	179	212	64	75.179.212.54	0105		75.179.212.54	cdptpabb-ci-knd-2209.cdvr.stage.charter.com	2001:1998:064f:0105::36	cdptpabb-ci-knd-2209.cdvr.stage.charter.com
2			osvip-2102	n/a	130	75.179.212.	55	55	2001:1998:064f:0105::	37	"POD 02, Mon 01 OS VIP"	175	75	179	212	64	75.179.212.55	0105		75.179.212.55	osvip-2102.cdvr.stage.charter.com	2001:1998:064f:0105::37	osvip-2102.cdvr.stage.charter.com
2			osvip-2202	n/a	130	75.179.212.	56	56	2001:1998:064f:0105::	38	"POD 02, Mon 02 OS VIP"	176	75	179	212	64	75.179.212.56	0105		75.179.212.56	osvip-2202.cdvr.stage.charter.com	2001:1998:064f:0105::38	osvip-2202.cdvr.stage.charter.com
2			vmrvip-2103	n/a	130	75.179.212.	57	57	2001:1998:064f:0105::	39	"POD 02, Mon 01, VIP worker nodes 1-3"	177	75	179	212	64	75.179.212.57	0105		75.179.212.57	vmrvip-2103.cdvr.stage.charter.com	2001:1998:064f:0105::39	vmrvip-2103.cdvr.stage.charter.com
2			vmrvip-2203	n/a	130	75.179.212.	58	58	2001:1998:064f:0105::	3A	"POD 02, Mon 02, VIP worker nodes 1-2"	178	75	179	212	64	75.179.212.58	0105		75.179.212.58	vmrvip-2203.cdvr.stage.charter.com	2001:1998:064f:0105::3A	vmrvip-2203.cdvr.stage.charter.com
2			dovip	n/a	130	75.179.212.	59	59	2001:1998:064f:0105::	3B	POD 02 DO VIP	179	75	179	212	64	75.179.212.59	0105		75.179.212.59	dovip.cdvr.stage.charter.com	2001:1998:064f:0105::3B	dovip.cdvr.stage.charter.com
2			Open		130	75.179.212.	60	60	2001:1998:064f:0105::	3C		180	75	179	212	64	75.179.212.60	0105					
2			Open		130	75.179.212.	61	61	2001:1998:064f:0105::	3D		181	75	179	212	64	75.179.212.61	0105					
2			Open		130	75.179.212.	62	62	2001:1998:064f:0105::	3E		182	75	179	212	64	75.179.212.62	0105					
			Broadcast		130	75.179.212	63			ffff:ffff:ffff:ffff		183	75	179	212	64	75.179.212.63	0105					
																							
			"IPv4 Network: 75.179.212.64/26
MASK: 255.255.255.192
IPv6 Network: 2001:1998:064f:0106::/64"		330		64				"RDC 1, POD 3, VMR
domain: cdvr.stage.charter.com"	185	75	179	249	96	75.179.249.64	0106					
			VRRP VIP		330	75.179.212.	65	1	2001:1998:064f:0106::	1		186	75	179	249	96	75.179.249.65	0106					
			Router 1		330	75.179.212.	66	2	2001:1998:064f:0106::	2		187	75	179	249	96	75.179.249.66	0106					
			Router 2		330	75.179.212.	67	3	2001:1998:064f:0106::	3		188	75	179	249	96	75.179.249.67	0106					
3	ib-acw	1001	cdptpabb-ib-acw-3001	??	330	75.179.212.	68	4	2001:1998:064f:0106::	4	"POD 3, Write Accessor 1001"	189	75	179	249	96	75.179.249.68	0106		75.179.212.68	cdptpabb-ib-acw-3001.cdvr.stage.charter.com	2001:1998:064f:0106::4	cdptpabb-ib-acw-3001.cdvr.stage.charter.com
3	ib-acw	1002	cdptpabb-ib-acw-3002	??	330	75.179.212.	69	5	2001:1998:064f:0106::	5	"POD 3, Write Accessor 1002"	190	75	179	249	96	75.179.249.69	0106		75.179.212.69	cdptpabb-ib-acw-3002.cdvr.stage.charter.com	2001:1998:064f:0106::5	cdptpabb-ib-acw-3002.cdvr.stage.charter.com
				eth0	330	75.179.212.	70	6	2001:1998:064f:0106::	6		191	75	179	249	96	75.179.249.70	0106					
				eth0	330	75.179.212.	71	7	2001:1998:064f:0106::	7		192	75	179	249	96	75.179.249.71	0106					
3	ci-klv	3101	cdptpabb-ci-klv-3101	eth0	330	75.179.212.	72	8	2001:1998:064f:0106::	8	"POD 03, VMR 01 OS VIP"	193	75	179	249	96	75.179.249.72	0106		75.179.212.72	cdptpabb-ci-klv-3101.cdvr.stage.charter.com	2001:1998:064f:0106::8	cdptpabb-ci-klv-3101.cdvr.stage.charter.com
3	ci-klb	3101	cdptpabb-ci-klb-3101	eth0	330	75.179.212.	73	9	2001:1998:064f:0106::	9	"POD 03, VMR 01 KLB"	194	75	179	249	96	75.179.249.73	0106		75.179.212.73	cdptpabb-ci-klb-3101.cdvr.stage.charter.com	2001:1998:064f:0106::9	cdptpabb-ci-klb-3101.cdvr.stage.charter.com
3	ci-klb	3102	cdptpabb-ci-klb-3102	eth0	330	75.179.212.	74	10	2001:1998:064f:0106::	A	"POD 03, VMR 01 KLB"	195	75	179	249	96	75.179.249.74	0106		75.179.212.74	cdptpabb-ci-klb-3102.cdvr.stage.charter.com	2001:1998:064f:0106::A	cdptpabb-ci-klb-3102.cdvr.stage.charter.com
3	ci-kmr	3101	cdptpabb-ci-kmr-3101	eth0	330	75.179.212.	75	11	2001:1998:064f:0106::	B	"POD 03, VMR 01, Master"	196	75	179	249	96	75.179.249.75	0106		75.179.212.75	cdptpabb-ci-kmr-3101.cdvr.stage.charter.com	2001:1998:064f:0106::B	cdptpabb-ci-kmr-3101.cdvr.stage.charter.com
3	ci-kmr	3102	cdptpabb-ci-kmr-3102	eth0	330	75.179.212.	76	12	2001:1998:064f:0106::	C	"POD 03, VMR 01, Master"	197	75	179	249	96	75.179.249.76	0106		75.179.212.76	cdptpabb-ci-kmr-3102.cdvr.stage.charter.com	2001:1998:064f:0106::C	cdptpabb-ci-kmr-3102.cdvr.stage.charter.com
3	ci-kmr	3103	cdptpabb-ci-kmr-3103	eth0	330	75.179.212.	77	13	2001:1998:064f:0106::	D	"POD 03, VMR 01, Master"	198	75	179	249	96	75.179.249.77	0106		75.179.212.77	cdptpabb-ci-kmr-3103.cdvr.stage.charter.com	2001:1998:064f:0106::D	cdptpabb-ci-kmr-3103.cdvr.stage.charter.com
3	ci-knv	3101	cdptpabb-ci-knv-3101	eth0	330	75.179.212.	78	14	2001:1998:064f:0106::	E	"POD 03, VMR 01, Worker VIP"	199	75	179	249	96	75.179.249.78	0106		75.179.212.78	cdptpabb-ci-knv-3101.cdvr.stage.charter.com	2001:1998:064f:0106::E	cdptpabb-ci-knv-3101.cdvr.stage.charter.com
3	ci-knv	3102	cdptpabb-ci-knv-3102	eth0	330	75.179.212.	79	15	2001:1998:064f:0106::	F	"POD 03, VMR 01, Worker VIP"	200	75	179	249	96	75.179.249.79	0106		75.179.212.79	cdptpabb-ci-knv-3102.cdvr.stage.charter.com	2001:1998:064f:0106::F	cdptpabb-ci-knv-3102.cdvr.stage.charter.com
3	ci-knd	3101	cdptpabb-ci-knd-3101	eth0	330	75.179.212.	80	16	2001:1998:064f:0106::	10	"POD 03, VMR 01, Worker"	201	75	179	249	96	75.179.249.80	0106		75.179.212.80	cdptpabb-ci-knd-3101.cdvr.stage.charter.com	2001:1998:064f:0106::10	cdptpabb-ci-knd-3101.cdvr.stage.charter.com
3	ci-knd	3102	cdptpabb-ci-knd-3102	eth0	330	75.179.212.	81	17	2001:1998:064f:0106::	11	"POD 03, VMR 01, Worker"	202	75	179	249	96	75.179.249.81	0106		75.179.212.81	cdptpabb-ci-knd-3102.cdvr.stage.charter.com	2001:1998:064f:0106::11	cdptpabb-ci-knd-3102.cdvr.stage.charter.com
3	ci-knd	3103	cdptpabb-ci-knd-3103	eth0	330	75.179.212.	82	18	2001:1998:064f:0106::	12	"POD 03, VMR 01, Worker"	203	75	179	249	96	75.179.249.82	0106		75.179.212.82	cdptpabb-ci-knd-3103.cdvr.stage.charter.com	2001:1998:064f:0106::12	cdptpabb-ci-knd-3103.cdvr.stage.charter.com
3	ci-knd	3104	cdptpabb-ci-knd-3104	eth0	330	75.179.212.	83	19	2001:1998:064f:0106::	13	"POD 03, VMR 01, Worker"	204	75	179	249	96	75.179.249.83	0106		75.179.212.83	cdptpabb-ci-knd-3104.cdvr.stage.charter.com	2001:1998:064f:0106::13	cdptpabb-ci-knd-3104.cdvr.stage.charter.com
3	ci-knd	3105	cdptpabb-ci-knd-3105	eth0	330	75.179.212.	84	20	2001:1998:064f:0106::	14	"POD 03, VMR 01, Worker"	205	75	179	249	96	75.179.249.84	0106		75.179.212.84	cdptpabb-ci-knd-3105.cdvr.stage.charter.com	2001:1998:064f:0106::14	cdptpabb-ci-knd-3105.cdvr.stage.charter.com
3	ci-knd	3106	cdptpabb-ci-knd-3106	eth0	330	75.179.212.	85	21	2001:1998:064f:0106::	15	"POD 03, VMR 01, Worker"	206	75	179	249	96	75.179.249.85	0106		75.179.212.85	cdptpabb-ci-knd-3106.cdvr.stage.charter.com	2001:1998:064f:0106::15	cdptpabb-ci-knd-3106.cdvr.stage.charter.com
3	ci-klv	3201	cdptpabb-ci-klv-3201	eth0	330	75.179.212.	86	22	2001:1998:064f:0106::	16	"POD 03, VMR 02 OS VIP"	207	75	179	249	96	75.179.249.86	0106		75.179.212.86	cdptpabb-ci-klv-3201.cdvr.stage.charter.com	2001:1998:064f:0106::16	cdptpabb-ci-klv-3201.cdvr.stage.charter.com
3	ci-klb	3201	cdptpabb-ci-klb-3201	eth0	330	75.179.212.	87	23	2001:1998:064f:0106::	17	"POD 03, VMR 02 KLB"	208	75	179	249	96	75.179.249.87	0106		75.179.212.87	cdptpabb-ci-klb-3201.cdvr.stage.charter.com	2001:1998:064f:0106::17	cdptpabb-ci-klb-3201.cdvr.stage.charter.com
3	ci-klb	3202	cdptpabb-ci-klb-3202	eth0	330	75.179.212.	88	24	2001:1998:064f:0106::	18	"POD 03, VMR 02 KLB"	209	75	179	249	96	75.179.249.88	0106		75.179.212.88	cdptpabb-ci-klb-3202.cdvr.stage.charter.com	2001:1998:064f:0106::18	cdptpabb-ci-klb-3202.cdvr.stage.charter.com
3	ci-kmr	3201	cdptpabb-ci-kmr-3201	eth0	330	75.179.212.	89	25	2001:1998:064f:0106::	19	"POD 03, VMR 02, Master"	210	75	179	249	96	75.179.249.89	0106		75.179.212.89	cdptpabb-ci-kmr-3201.cdvr.stage.charter.com	2001:1998:064f:0106::19	cdptpabb-ci-kmr-3201.cdvr.stage.charter.com
3	ci-kmr	3202	cdptpabb-ci-kmr-3202	eth0	330	75.179.212.	90	26	2001:1998:064f:0106::	1A	"POD 03, VMR 02, Master"	211	75	179	249	96	75.179.249.90	0106		75.179.212.90	cdptpabb-ci-kmr-3202.cdvr.stage.charter.com	2001:1998:064f:0106::1A	cdptpabb-ci-kmr-3202.cdvr.stage.charter.com
3	ci-kmr	3203	cdptpabb-ci-kmr-3203	eth0	330	75.179.212.	91	27	2001:1998:064f:0106::	1B	"POD 03, VMR 02, Master"	212	75	179	249	96	75.179.249.91	0106		75.179.212.91	cdptpabb-ci-kmr-3203.cdvr.stage.charter.com	2001:1998:064f:0106::1B	cdptpabb-ci-kmr-3203.cdvr.stage.charter.com
3	ci-knv	3201	cdptpabb-ci-knv-3201	eth0	330	75.179.212.	92	28	2001:1998:064f:0106::	1C	"POD 03, VMR 02, Worker VIP"	213	75	179	249	96	75.179.249.92	0106		75.179.212.92	cdptpabb-ci-knv-3201.cdvr.stage.charter.com	2001:1998:064f:0106::1C	cdptpabb-ci-knv-3201.cdvr.stage.charter.com
3	ci-knv	3202	cdptpabb-ci-knv-3202	eth0	330	75.179.212.	93	29	2001:1998:064f:0106::	1D	"POD 03, VMR 02, Worker VIP"	214	75	179	249	96	75.179.249.93	0106		75.179.212.93	cdptpabb-ci-knv-3202.cdvr.stage.charter.com	2001:1998:064f:0106::1D	cdptpabb-ci-knv-3202.cdvr.stage.charter.com
3	ci-knd	3201	cdptpabb-ci-knd-3201	eth0	330	75.179.212.	94	30	2001:1998:064f:0106::	1E	"POD 03, VMR 02, Worker"	215	75	179	249	96	75.179.249.94	0106		75.179.212.94	cdptpabb-ci-knd-3201.cdvr.stage.charter.com	2001:1998:064f:0106::1E	cdptpabb-ci-knd-3201.cdvr.stage.charter.com
